date,cluster_0,cluster_1
2023-01-05 00:00:00+00:00,0.5000590103211592,0.49994098967884076
2023-01-07 00:00:00+00:00,0.49993821887976386,0.5000617811202361
2023-01-08 00:00:00+00:00,0.49994392927556075,0.5000560707244392
2023-01-09 00:00:00+00:00,0.5000150397788201,0.4999849602211799
2023-01-12 00:00:00+00:00,0.5000109953498268,0.4999890046501731
2023-01-13 00:00:00+00:00,0.5000319117980766,0.4999680882019235
2023-01-14 00:00:00+00:00,0.49999011876810007,0.5000098812318999
2023-01-15 00:00:00+00:00,0.5000424763445966,0.49995752365540347
2023-01-16 00:00:00+00:00,0.5001255956565757,0.49987440434342434
2023-01-29 00:00:00+00:00,0.4999081377594924,0.5000918622405076
2023-01-30 00:00:00+00:00,0.4999687636491205,0.5000312363508794
2023-01-31 00:00:00+00:00,0.5000255095204441,0.49997449047955583
2023-02-01 00:00:00+00:00,0.5000485469333832,0.49995145306661687
2023-02-02 00:00:00+00:00,0.500008450622283,0.49999154937771695
2023-02-04 00:00:00+00:00,0.4998303539902935,0.5001696460097065
2023-02-06 00:00:00+00:00,0.49986958895071165,0.5001304110492883
2023-02-10 00:00:00+00:00,0.49993596194558354,0.5000640380544165
2023-02-12 00:00:00+00:00,0.4997795259377822,0.5002204740622178
2023-02-18 00:00:00+00:00,0.49985523797306375,0.5001447620269363
2023-02-19 00:00:00+00:00,0.49980597834548085,0.5001940216545191
2023-02-20 00:00:00+00:00,0.5000170835513958,0.4999829164486042
2023-02-21 00:00:00+00:00,0.5000171055815764,0.4999828944184236
2023-02-25 00:00:00+00:00,0.49985273924385504,0.5001472607561449
2023-02-26 00:00:00+00:00,0.4997423594336992,0.5002576405663007
2023-03-05 00:00:00+00:00,0.4997691632642091,0.5002308367357908
2023-03-08 00:00:00+00:00,0.49990944692086103,0.500090553079139
2023-03-11 00:00:00+00:00,0.49974513719516495,0.5002548628048351
2023-03-12 00:00:00+00:00,0.49976185737422874,0.5002381426257713
2023-03-13 00:00:00+00:00,0.5000039022580234,0.4999960977419767
2023-03-15 00:00:00+00:00,0.49999590602037164,0.5000040939796283
2023-03-16 00:00:00+00:00,0.49999197749224256,0.5000080225077573
2023-03-17 00:00:00+00:00,0.4999639797199801,0.5000360202800199
2023-03-18 00:00:00+00:00,0.49986337308056855,0.5001366269194315
2023-03-20 00:00:00+00:00,0.4998865164454959,0.500113483554504
2023-03-22 00:00:00+00:00,0.5000410100718281,0.49995898992817195
2023-03-23 00:00:00+00:00,0.5000443194772249,0.499955680522775
2023-03-24 00:00:00+00:00,0.5000224784969554,0.4999775215030446
2023-03-25 00:00:00+00:00,0.4998333659036016,0.5001666340963984
2023-03-27 00:00:00+00:00,0.500044643595124,0.49995535640487593
2023-03-28 00:00:00+00:00,0.5000822962193154,0.49991770378068445
2023-03-30 00:00:00+00:00,0.5000392628040763,0.49996073719592365
2023-03-31 00:00:00+00:00,0.49994800236325254,0.5000519976367475
2023-04-01 00:00:00+00:00,0.49966986245542144,0.5003301375445786
2023-04-02 00:00:00+00:00,0.4996993245319925,0.5003006754680075
2023-04-03 00:00:00+00:00,0.4999021664337583,0.5000978335662416
2023-04-08 00:00:00+00:00,0.4996461785035205,0.5003538214964796
2023-04-09 00:00:00+00:00,0.4997117653172973,0.5002882346827028
2023-04-10 00:00:00+00:00,0.4997972919662309,0.5002027080337692
2023-04-13 00:00:00+00:00,0.4999117018417964,0.5000882981582037
2023-04-14 00:00:00+00:00,0.49970744146485735,0.5002925585351427
2023-04-16 00:00:00+00:00,0.4995858946055112,0.5004141053944887
2023-04-17 00:00:00+00:00,0.49970028065413036,0.5002997193458696
2023-04-19 00:00:00+00:00,0.4997814926041047,0.5002185073958952
2023-04-20 00:00:00+00:00,0.49976644310484436,0.5002335568951556
2023-04-21 00:00:00+00:00,0.4997114765528764,0.5002885234471236
2023-04-22 00:00:00+00:00,0.49960816427939375,0.5003918357206063
2023-04-23 00:00:00+00:00,0.49960620560739355,0.5003937943926065
2023-04-24 00:00:00+00:00,0.49995722885531285,0.5000427711446872
2023-04-25 00:00:00+00:00,0.4999274917152893,0.5000725082847107
2023-04-26 00:00:00+00:00,0.500027066492974,0.499972933507026
2023-04-27 00:00:00+00:00,0.49988195875740327,0.5001180412425968
2023-04-29 00:00:00+00:00,0.499616861105622,0.500383138894378
2023-04-30 00:00:00+00:00,0.49953923784072995,0.50046076215927
2023-05-02 00:00:00+00:00,0.4998276449867558,0.5001723550132442
2023-05-03 00:00:00+00:00,0.4997992639131287,0.5002007360868713
2023-05-05 00:00:00+00:00,0.4997853239481977,0.5002146760518023
2023-05-06 00:00:00+00:00,0.49977566322858086,0.5002243367714192
2023-05-07 00:00:00+00:00,0.49955100865652113,0.5004489913434789
2023-05-09 00:00:00+00:00,0.499893622638744,0.5001063773612561
2023-05-10 00:00:00+00:00,0.49989204881606364,0.5001079511839364
2023-05-11 00:00:00+00:00,0.4997287034668547,0.5002712965331454
2023-05-13 00:00:00+00:00,0.4996141349423762,0.5003858650576238
2023-05-14 00:00:00+00:00,0.49952678266951395,0.5004732173304861
2023-05-15 00:00:00+00:00,0.4997512785022254,0.5002487214977747
2023-05-17 00:00:00+00:00,0.49998784095690835,0.5000121590430916
2023-05-18 00:00:00+00:00,0.4998211994144545,0.5001788005855454
2023-05-19 00:00:00+00:00,0.49969243391033014,0.5003075660896699
2023-05-20 00:00:00+00:00,0.49951561476294615,0.5004843852370539
2023-05-23 00:00:00+00:00,0.499974496150012,0.500025503849988
2023-05-24 00:00:00+00:00,0.49993783171487743,0.5000621682851226
2023-05-25 00:00:00+00:00,0.49980267798360245,0.5001973220163975
2023-05-27 00:00:00+00:00,0.49970977017337137,0.5002902298266286
2023-05-31 00:00:00+00:00,0.49993100326012563,0.5000689967398744
2023-06-02 00:00:00+00:00,0.49977946716719646,0.5002205328328034
2023-06-03 00:00:00+00:00,0.49973586342210724,0.5002641365778928
2023-06-07 00:00:00+00:00,0.4998157045340236,0.5001842954659764
2023-06-08 00:00:00+00:00,0.4999164644696567,0.5000835355303433
2023-06-09 00:00:00+00:00,0.4997993267873526,0.5002006732126474
2023-06-10 00:00:00+00:00,0.4996952003844498,0.5003047996155502
2023-06-13 00:00:00+00:00,0.49984926671839336,0.5001507332816066
2023-06-14 00:00:00+00:00,0.499839204656216,0.500160795343784
2023-06-15 00:00:00+00:00,0.4997074601757397,0.5002925398242604
2023-06-18 00:00:00+00:00,0.4998145665387835,0.5001854334612166
2023-06-19 00:00:00+00:00,0.4998174550793518,0.5001825449206482
2023-06-24 00:00:00+00:00,0.4996553646745549,0.5003446353254452
2023-06-25 00:00:00+00:00,0.49961756493685433,0.5003824350631456
2023-06-27 00:00:00+00:00,0.49982439297247433,0.5001756070275257
2023-06-28 00:00:00+00:00,0.4997508727619447,0.5002491272380554
2023-07-01 00:00:00+00:00,0.4995752595767549,0.5004247404232451
2023-07-02 00:00:00+00:00,0.499783637442078,0.5002163625579221
2023-07-05 00:00:00+00:00,0.5000462684232527,0.49995373157674716
2023-07-09 00:00:00+00:00,0.49963107634913,0.5003689236508699
2023-07-10 00:00:00+00:00,0.4999040194398631,0.5000959805601369
2023-07-13 00:00:00+00:00,0.4998202143562303,0.5001797856437697
2023-07-14 00:00:00+00:00,0.4996757745224846,0.5003242254775153
2023-07-15 00:00:00+00:00,0.4998164343103645,0.5001835656896355
2023-07-18 00:00:00+00:00,0.5000244086383144,0.49997559136168557
2023-07-20 00:00:00+00:00,0.4998361120162714,0.5001638879837286
2023-07-21 00:00:00+00:00,0.4998074622611312,0.5001925377388688
2023-07-22 00:00:00+00:00,0.4995977273129968,0.5004022726870032
2023-07-23 00:00:00+00:00,0.49987966739770756,0.5001203326022925
2023-07-24 00:00:00+00:00,0.4998574117672098,0.5001425882327902
2023-07-25 00:00:00+00:00,0.4998809681570231,0.5001190318429769
2023-07-26 00:00:00+00:00,0.500035447258711,0.499964552741289
2023-07-27 00:00:00+00:00,0.4998505542064332,0.5001494457935668
2023-07-28 00:00:00+00:00,0.49977054787225,0.50022945212775
2023-07-29 00:00:00+00:00,0.4996917185575094,0.5003082814424906
2023-07-30 00:00:00+00:00,0.4995963841272589,0.5004036158727411
2023-08-01 00:00:00+00:00,0.4999070176827513,0.5000929823172487
2023-08-02 00:00:00+00:00,0.4998409820782508,0.5001590179217492
2023-08-03 00:00:00+00:00,0.49989611352046404,0.5001038864795359
2023-08-04 00:00:00+00:00,0.4998633981572592,0.5001366018427409
2023-08-05 00:00:00+00:00,0.4997250452245286,0.5002749547754713
2023-08-06 00:00:00+00:00,0.4996733885983673,0.5003266114016327
2023-08-07 00:00:00+00:00,0.5000843270616042,0.4999156729383958
2023-08-13 00:00:00+00:00,0.49983796555408544,0.5001620344459146
2023-08-14 00:00:00+00:00,0.49986916365107437,0.5001308363489256
2023-08-16 00:00:00+00:00,0.4997985873323304,0.5002014126676696
2023-08-18 00:00:00+00:00,0.4997957803532167,0.5002042196467834
2023-08-19 00:00:00+00:00,0.49970530901662497,0.500294690983375
2023-08-20 00:00:00+00:00,0.49958370376067124,0.5004162962393287
2023-08-21 00:00:00+00:00,0.4996194580261054,0.5003805419738947
2023-08-27 00:00:00+00:00,0.4998376148947384,0.5001623851052617
2023-08-28 00:00:00+00:00,0.4998337903887417,0.5001662096112583
2023-09-01 00:00:00+00:00,0.4996765200830031,0.5003234799169969
2023-09-02 00:00:00+00:00,0.49955871586475387,0.5004412841352461
2023-09-03 00:00:00+00:00,0.49958598457775194,0.5004140154222481
2023-09-04 00:00:00+00:00,0.49963832535976377,0.5003616746402362
2023-09-11 00:00:00+00:00,0.4997410621059675,0.5002589378940325
2023-09-14 00:00:00+00:00,0.4997172435508624,0.5002827564491377
2023-09-18 00:00:00+00:00,0.49997979563645006,0.50002020436355
2023-09-30 00:00:00+00:00,0.4997009119123683,0.5002990880876316
2023-10-20 00:00:00+00:00,0.5001084060380444,0.49989159396195565
2023-10-21 00:00:00+00:00,0.5000559038845438,0.4999440961154562
2023-10-22 00:00:00+00:00,0.4999450270656762,0.5000549729343238
2023-10-23 00:00:00+00:00,0.5000295974116531,0.49997040258834685
2023-10-25 00:00:00+00:00,0.5001764035894684,0.49982359641053165
2023-10-26 00:00:00+00:00,0.5000837289649066,0.49991627103509345
2023-10-27 00:00:00+00:00,0.49994393877177534,0.5000560612282247
2023-10-28 00:00:00+00:00,0.4997094206669724,0.5002905793330277
2023-10-29 00:00:00+00:00,0.49997706108030154,0.5000229389196985
2023-10-31 00:00:00+00:00,0.5002714471266685,0.49972855287333146
2023-11-02 00:00:00+00:00,0.5002675172865818,0.4997324827134182
2023-11-03 00:00:00+00:00,0.500131369198653,0.4998686308013471
2023-11-04 00:00:00+00:00,0.49994859750935033,0.5000514024906497
2023-11-05 00:00:00+00:00,0.500036851208993,0.49996314879100695
2023-11-06 00:00:00+00:00,0.5001996398949174,0.49980036010508255
2023-11-07 00:00:00+00:00,0.5001681397531058,0.49983186024689413
2023-11-08 00:00:00+00:00,0.5001561900539997,0.49984380994600036
2023-11-09 00:00:00+00:00,0.5001027562321453,0.4998972437678546
2023-11-10 00:00:00+00:00,0.49995656408531275,0.5000434359146873
2023-11-11 00:00:00+00:00,0.4996390460821553,0.5003609539178446
2023-11-12 00:00:00+00:00,0.49977261857724,0.50022738142276
2023-11-13 00:00:00+00:00,0.5000319324181733,0.4999680675818267
2023-11-14 00:00:00+00:00,0.5002321548637062,0.4997678451362938
2023-11-15 00:00:00+00:00,0.5002796658859232,0.4997203341140769
2023-11-16 00:00:00+00:00,0.5001641984681727,0.4998358015318272
2023-11-18 00:00:00+00:00,0.4997222597945321,0.5002777402054679
2023-11-19 00:00:00+00:00,0.49991361422391645,0.5000863857760836
2023-11-20 00:00:00+00:00,0.500157985763643,0.4998420142363569
2023-11-21 00:00:00+00:00,0.5000621342931261,0.49993786570687393
2023-11-22 00:00:00+00:00,0.5001169557589485,0.4998830442410515
2023-11-23 00:00:00+00:00,0.5001771198192647,0.4998228801807353
2023-11-24 00:00:00+00:00,0.5002181208902787,0.49978187910972127
2023-11-25 00:00:00+00:00,0.4999426948624564,0.5000573051375435
2023-11-26 00:00:00+00:00,0.49983652254337935,0.5001634774566207
2023-11-27 00:00:00+00:00,0.5000454905845798,0.49995450941542013
2023-11-28 00:00:00+00:00,0.5000876565523831,0.4999123434476169
2023-12-03 00:00:00+00:00,0.49983188981597554,0.5001681101840244
2023-12-04 00:00:00+00:00,0.49996315072316444,0.5000368492768356
2023-12-05 00:00:00+00:00,0.500058332090357,0.499941667909643
2023-12-06 00:00:00+00:00,0.5001136212228764,0.49988637877712355
2023-12-08 00:00:00+00:00,0.4999833432107726,0.5000166567892275
2023-12-09 00:00:00+00:00,0.4998664865709366,0.5001335134290634
2023-12-10 00:00:00+00:00,0.4999788347068143,0.5000211652931856
2023-12-11 00:00:00+00:00,0.5003823072939955,0.4996176927060046
2023-12-12 00:00:00+00:00,0.5004474425936607,0.4995525574063393
2023-12-13 00:00:00+00:00,0.5003063725858201,0.49969362741417983
2023-12-14 00:00:00+00:00,0.5001302309828289,0.49986976901717106
2023-12-15 00:00:00+00:00,0.49998561361091415,0.5000143863890859
2023-12-16 00:00:00+00:00,0.4998741061718745,0.5001258938281254
2023-12-17 00:00:00+00:00,0.5000436858252064,0.49995631417479364
2023-12-18 00:00:00+00:00,0.5004264245071074,0.49957357549289266
2023-12-19 00:00:00+00:00,0.50056302938916,0.49943697061083997
2023-12-20 00:00:00+00:00,0.5007068714255787,0.4992931285744213
2023-12-21 00:00:00+00:00,0.5002693397683767,0.4997306602316233
2023-12-22 00:00:00+00:00,0.5002718100060689,0.499728189993931
2023-12-24 00:00:00+00:00,0.5001347773377749,0.49986522266222516
2023-12-27 00:00:00+00:00,0.5003964694872455,0.4996035305127546
2023-12-31 00:00:00+00:00,0.5001314043970331,0.49986859560296687
2024-01-01 00:00:00+00:00,0.5003467767472346,0.49965322325276545
2024-01-03 00:00:00+00:00,0.500267013410382,0.499732986589618
2024-01-05 00:00:00+00:00,0.5001320514555309,0.49986794854446914
2024-01-06 00:00:00+00:00,0.5000185516248784,0.4999814483751217
2024-01-07 00:00:00+00:00,0.5000139133694564,0.49998608663054367
2024-01-08 00:00:00+00:00,0.5001267005026143,0.4998732994973857
2024-01-09 00:00:00+00:00,0.5001071403479599,0.4998928596520401
2024-01-10 00:00:00+00:00,0.5000901312219173,0.4999098687780828
2024-01-11 00:00:00+00:00,0.5000188604919191,0.4999811395080809
2024-01-12 00:00:00+00:00,0.49998173895889514,0.5000182610411049
2024-01-13 00:00:00+00:00,0.4999305479645195,0.5000694520354805
2024-01-14 00:00:00+00:00,0.5000148164566662,0.4999851835433339
2024-01-15 00:00:00+00:00,0.5002414804513802,0.4997585195486199
2024-01-16 00:00:00+00:00,0.5004028264624898,0.4995971735375102
2024-01-17 00:00:00+00:00,0.5003420525023907,0.4996579474976093
2024-01-18 00:00:00+00:00,0.5002480248369434,0.4997519751630565
2024-01-19 00:00:00+00:00,0.5001747417059454,0.4998252582940546
2024-01-20 00:00:00+00:00,0.5000215561529824,0.4999784438470176
2024-01-21 00:00:00+00:00,0.5001002662258716,0.49989973377412844
2024-01-22 00:00:00+00:00,0.5003331456168959,0.499666854383104
2024-01-23 00:00:00+00:00,0.500558444743013,0.4994415552569869
2024-01-24 00:00:00+00:00,0.5003975304755626,0.4996024695244375
2024-01-26 00:00:00+00:00,0.5003088620723047,0.4996911379276954
2024-01-27 00:00:00+00:00,0.500080491384323,0.499919508615677
2024-01-28 00:00:00+00:00,0.5001202046667044,0.4998797953332957
2024-01-29 00:00:00+00:00,0.5004456381680071,0.4995543618319928
2024-01-30 00:00:00+00:00,0.5005440969886124,0.49945590301138765
2024-01-31 00:00:00+00:00,0.5005355930443534,0.49946440695564664
2024-02-01 00:00:00+00:00,0.500414800703828,0.4995851992961719
2024-02-02 00:00:00+00:00,0.5003259770889933,0.49967402291100665
2024-02-03 00:00:00+00:00,0.5001514249594573,0.49984857504054264
